"","plot","block","subblock","water","fertilization","year","annuals","bare","dead.grass","disturbance","grass","litter","natives","other","other.weeds","total","waps","weeds","sub.block","precip.block","h2o","other.treatment","sp.trt","fert","clip","avena","bro.hordeaceous","bro.madritensis","bro.diandrus","hordeum.sp","lolium","oats","trifolium","centaurea","bro.carinatus","elymus","leymus","lotus","lupinus","nassella","poa","vulpia","bunchgrass","aegilops","taeniatherum","ag.big","ag.small","amsinckia","big.leaf.dandelion","bindweed","cap.bur","con.arv","conyza","epilobium.brach","erodium.moschatum","galium","geranium","gumplant","helianthus","italian.thistle","kickxia.elatine","lactuca.serriola","melilotus","milk.thistle","mustard","orchard.grass","phalaris.sp","redmaid","senecio","tarweed","thistle","tragopogon.porrifolius","unk.thistle","veronica","vicia"
"26",3,1,1,"latewet","none",2011,0,0,NA,0,NA,0,0,NA,0,120,120,0,1,"A","late wet","18a","WAPS","none","spring clipping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",3,1,1,"latewet","none",2012,12.5,75,NA,0,NA,0,0,NA,0,27.5,15,0,1,"A","late wet","18a","WAPS","none","spring clipping",12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",3,1,1,"latewet","none",2013,12.5,0,NA,0,NA,0,0,NA,0,47.5,35,0,1,"A","late wet","18a","WAPS","none","spring clipping",12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",3,1,1,"latewet","none",2014,55,45,NA,0,NA,0,0,NA,0,90,35,0,1,"A","late wet","18a","WAPS","none","spring clipping",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",3,1,1,"latewet","none",2015,25,0,0,0,NA,0,2.5,55,0,95,12.5,NA,1,"A","late wet","18a","WAPS","none","spring clipping",25,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"31",3,1,1,"latewet","none",2016,87.5,35,0,0,0,0,5,NA,0,152.5,25,NA,1,"A","late wet","18a","WAPS","none","spring clipping",75,12.5,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",3,1,1,"latewet","none",2017,27.5,0,0,25,NA,45,0,NA,0,100,35,NA,1,"A","late wet","18a","WAPS","none","spring clipping",25,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5
"33",3,1,1,"latewet","none",2018,37.5,45,0,0,0,0,0,NA,0,107.5,55,NA,1,"A","late wet","18a","WAPS","none","spring clipping",25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
"34",4,1,1,"latewet","none",2008,0,0,NA,0,NA,0,85,NA,NA,85,0,NA,1,"A","late wet","26","Bromuscarinatus","none","none",0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",4,1,1,"latewet","none",2009,0,0,NA,0,NA,0,95,NA,NA,95,0,NA,1,"A","late wet","26","Bromuscarinatus","none","none",0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",4,1,1,"latewet","none",2010,0,0,NA,0,NA,55,47.5,NA,0,50,2.5,0,1,"A","late wet","26","Bromuscarinatus","none","none",0,0,0,0,0,0,0,0,0,45,0,0,2.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",4,1,1,"latewet","none",2011,0,0,NA,0,NA,0,0,NA,57.5,57.5,0,45,1,"A","late wet","26","Bromuscarinatus","none","none",0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",4,1,1,"latewet","none",2012,25,0,NA,0,NA,0,2.5,NA,45,72.5,0,45,1,"A","late wet","26","Bromuscarinatus","none","none",25,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",4,1,1,"latewet","none",2013,47.5,0,NA,0,NA,0,2.5,NA,0,50,0,0,1,"A","late wet","26","Bromuscarinatus","none","none",35,12.5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",4,1,1,"latewet","none",2014,0,95,NA,0,NA,0,12.5,NA,0,12.5,0,0,1,"A","late wet","26","Bromuscarinatus","none","none",0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",4,1,1,"latewet","none",2015,77.5,0,0,0,NA,0,0,37.5,0,115,0,NA,1,"A","late wet","26","Bromuscarinatus","none","none",65,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"42",4,1,1,"latewet","none",2016,130,0,0,0,0,0,12.5,NA,0,157.5,15,NA,1,"A","late wet","26","Bromuscarinatus","none","none",65,65,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,12.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",4,1,1,"latewet","none",2017,50,0,0,0,NA,45,0,NA,0,90,25,NA,1,"A","late wet","26","Bromuscarinatus","none","none",2.5,45,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
"44",4,1,1,"latewet","none",2018,50,12.5,0,0,0,12.5,0,NA,0,90,25,NA,1,"A","late wet","26","Bromuscarinatus","none","none",25,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,12.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",5,1,1,"latewet","none",2008,85,0,NA,0,NA,0,0,NA,NA,85,0,NA,1,"A","late wet","22","Trifoliumsubteranneum","none","none",0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",5,1,1,"latewet","none",2009,95,0,NA,0,NA,0,0,NA,NA,95,0,NA,1,"A","late wet","22","Trifoliumsubteranneum","none","none",0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",5,1,1,"latewet","none",2010,79.5,25,NA,0,NA,0,0,NA,2.5,82,0,0,1,"A","late wet","22","Trifoliumsubteranneum","none","none",0,2.5,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",5,1,1,"latewet","none",2011,75,0,NA,0,NA,0,0,NA,75,150,0,75,1,"A","late wet","22","Trifoliumsubteranneum","none","none",0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",5,1,1,"latewet","none",2012,0,0,NA,0,NA,0,0,NA,95,95,0,95,1,"A","late wet","22","Trifoliumsubteranneum","none","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",5,1,1,"latewet","none",2013,0,0,NA,0,NA,0,0,NA,0,0,0,0,1,"A","late wet","22","Trifoliumsubteranneum","none","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",5,1,1,"latewet","none",2014,37.5,0,NA,0,NA,85,37.5,NA,0,102.5,27.5,0,1,"A","late wet","22","Trifoliumsubteranneum","none","none",25,0,0,12.5,0,0,0,0,0,12.5,25,0,0,0,0,0,0,0,25,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",5,1,1,"latewet","none",2015,70,0,0,0,NA,65,25,27.5,0,122.5,0,NA,1,"A","late wet","22","Trifoliumsubteranneum","none","none",45,0,0,25,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"53",5,1,1,"latewet","none",2016,82.5,0,0,0,0,0,57.5,NA,0,142.5,0,NA,1,"A","late wet","22","Trifoliumsubteranneum","none","none",25,12.5,0,45,0,0,0,0,0,12.5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",5,1,1,"latewet","none",2017,92.5,0,0,0,NA,0,47.5,NA,0,152.5,12.5,NA,1,"A","late wet","22","Trifoliumsubteranneum","none","none",35,55,0,0,0,2.5,0,0,0,0,35,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",5,1,1,"latewet","none",2018,92.5,12.5,0,2.5,75,0,27.5,NA,0,207.5,0,NA,1,"A","late wet","22","Trifoliumsubteranneum","none","none",65,25,0,2.5,0,0,0,0,0,2.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",6,1,1,"latewet","none",2008,0,0,NA,0,NA,0,85,NA,NA,85,0,NA,1,"A","late wet","33a","Lupinusbicolor","none","none",0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",6,1,1,"latewet","none",2009,0,35,NA,0,NA,55,35,NA,NA,35,0,NA,1,"A","late wet","33a","Lupinusbicolor","none","none",0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",6,1,1,"latewet","none",2010,0,95,NA,0,NA,0,0,NA,0,0,0,0,1,"A","late wet","33a","Lupinusbicolor","none","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",6,1,1,"latewet","none",2011,0,0,NA,0,NA,0,3,NA,12.5,15.5,0,12.5,1,"A","late wet","33a","Lupinusbicolor","none","none",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",6,1,1,"latewet","none",2012,0,0,NA,0,NA,0,0,NA,95,95,0,95,1,"A","late wet","33a","Lupinusbicolor","none","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",6,1,1,"latewet","none",2013,0,0,NA,0,NA,0,0,NA,0,0,0,0,1,"A","late wet","33a","Lupinusbicolor","none","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",6,1,1,"latewet","none",2014,90,0,NA,0,NA,0,25,NA,0,115,0,0,1,"A","late wet","33a","Lupinusbicolor","none","none",55,0,0,35,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",6,1,1,"latewet","none",2015,12.5,0,0,0,NA,75,12.5,45,0,70,0,NA,1,"A","late wet","33a","Lupinusbicolor","none","none",12.5,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"64",6,1,1,"latewet","none",2016,75,55,0,0,0,0,50,NA,0,180,0,NA,1,"A","late wet","33a","Lupinusbicolor","none","none",35,12.5,0,25,0,2.5,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",6,1,1,"latewet","none",2017,135,0,0,0,NA,0,15,NA,0,150,0,NA,1,"A","late wet","33a","Lupinusbicolor","none","none",45,25,0,65,0,0,0,0,0,0,12.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",6,1,1,"latewet","none",2018,132.5,0,0,0,0,35,15,NA,0,162.5,0,NA,1,"A","late wet","33a","Lupinusbicolor","none","none",65,12.5,0,55,0,0,0,0,0,0,12.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5
"67",7,1,1,"latewet","none",2008,0,0,NA,0,NA,0,5,NA,NA,5,0,NA,1,"A","late wet","28","Leymustriticoides","none","none",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",7,1,1,"latewet","none",2009,0,0,NA,0,NA,0,0,NA,NA,0,0,NA,1,"A","late wet","28","Leymustriticoides","none","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",7,1,1,"latewet","none",2010,0,0,NA,0,NA,95,2.5,NA,0,2.5,0,0,1,"A","late wet","28","Leymustriticoides","none","none",0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",7,1,1,"latewet","none",2011,0,0,NA,0,NA,0,55,NA,45,100,0,45,1,"A","late wet","28","Leymustriticoides","none","none",0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",7,1,1,"latewet","none",2012,25,0,NA,0,NA,0,57.5,NA,0,82.5,0,0,1,"A","late wet","28","Leymustriticoides","none","none",0,0,0,25,0,0,0,0,0,0,0,55,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",7,1,1,"latewet","none",2013,0,0,NA,0,NA,0,95,NA,0,95,0,0,1,"A","late wet","28","Leymustriticoides","none","none",0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",7,1,1,"latewet","none",2014,0,0,NA,0,NA,45,97.5,NA,0,97.5,0,0,1,"A","late wet","28","Leymustriticoides","none","none",0,0,0,0,0,0,0,0,0,0,0,85,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
