Plot #,Block,Sub-block,H2O,Sp comp,Fertilization,Clipping,08 Avena,08 Lolium,08 Bromus h,08 Trifolium,08 Aegilops,08 Taeniatherum,08 Bromus c,08 Elymus,08 Leymus,08 Nassella,08 Poa,08 Vulpia,08 Lotus,08 Lupinus,08 Centaurea,08 Litter,08 bare,08 disturbance,08 annual,08 waps,08 natives,08 total,09Avena,09Lolium,09Bromus h,09Trifolium,09Aegilops,09Taeniatherum,09Bromus c,09Elymus,09Leymus,09Nassella,09Poa,09Vulpia,09Lotus,09Lupinus,09Centaurea,09Litter,09bare,09disturbance,09annual,09waps,09native,09 total,10Avena,10Lolium,10Bromus h,10Trifolium,10Aegilops,10Taeniatherum,10Bromus c,10Elymus,10Leymus,10Nassella,10Poa,10Vulpia,10Lotus,10Lupinus,10Centaurea,10Bromusdiandrus,10Lactucaserriola,10Vicia,10Hordeum sp.,10Epilobiumbrachyantherum,10Helann,10capbur,10conarv,10weeds,10phalaris sp.,10unk. Thistle,10Litter,10bare,10disturbance,10 annuals,10 waps,10 natives,10 other weeds,10 total,11Avena,11Lolium,11Bromus h,11Trifolium,11Aegilops,11Taeniatherum,11Bromus c,11Elymus,11Leymus,11Nassella,11Poa,11Vulpia,11Lotus,11Lupinus,11Centaurea,11Bromusdiandrus,11weeds,11Litter,11bare,11disturbance,11vetch,11annuals,11 waps,11 natives,11 other weeds,11 total,12Avena,12Lolium,12Bromus h,12Trifolium,12Aegilops,12Taeniatherum,12Bromus c,12Elymus,12Leymus,12Nassella,12Poa,12Vulpia,12Lotus,12Lupinus,12Centaurea,12Bromusdiandrus,12weeds,12hordeum,12amsinckia,12orchard grass,12vetch,12Litter,12bare,12disturbance,12 annuals,12 waps,12 natives,12 other weeds,12 total,13Avena,13Lolium,13Bromus h,13Trifolium,13Aegilops,13Taeniatherum,13Bromus c,13Elymus,13Leymus,13Nassella,13Poa,13Vulpia,13Lotus,13Lupinus,13Centaurea,13Bromusdiandrus,13weeds,13Litter,13bare,13disturbance,13vetch,13amsinckia,13annuals,13 waps,13 natives,13 other weeds,13 total,14Avena,14Lolium,14Bromus h,14Trifolium,14Aegilops,14Taeniatherum,14Bromus c,14Elymus,14Leymus,14Nassella,14Poa,14Vulpia,14Lotus,14Lupinus,14Centaurea,14Bromusdiandrus,14weeds,14Litter,14bare,14disturbance,14vetch,14annual,14 waps,14 natives,14 other weeds,14 total,15Avena,15Lolium,15Bromus h,15Trifolium,15Aegilops,15Taeniatherum,15Bromus c,15Elymus,15Leymus,15Nassella,15poa,15Vulpia,15Lotus,15Lupinus,15Centaurea,15Bromusdiandrus,15bindweed,15hordeum,15Litter,15bare,15disturbance,15vetch,15Erodium moschatum,15Senecio,15Conyza,15Geranium,15redmaid,15Melilotus,15Galium,15other weeds,15AG- big,15AG-small,15grass,15Lactuca (broadleaf with spines down back vein),15bunchgrass,15amsinckia,15milk thistle,15helianthus,15capsella,15hordeum marinum (more like mh0,15big leaf dandelion (leaf looks like mustard),15dead grass (not senesced litter),15Veronica,15mustard,15tarweed,15orchard grass,15thistle,15bromus madritensis,15gumplant,15annual,15 an forbs,15 total annual exotic,15 waps,15 yst + waps,15 native grass,15 native forb,15 total native,15 weeds,15 total
121,2,1,wet,natives +WAPS + annuals,high fert,spring clipping,25,12.5,12.5,25,12.5,55,0,2.5,0,0,0,0,0,2.5,0,0,0,0,75,67.5,5,147.5,12.5,12.5,0,12.5,25,35,0,0,0,0,0,0,0,0,0,75,0,0,37.5,60,0,97.5,2.5,12.5,0,25,12.5,95,0,0,0,0,0,0,2.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,40,107.5,2.5,12.5,162.5,12.5,12.5,0,0,25,95,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,25,120,2.5,0,147.5,2.5,0,2.5,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,5,5,0,0,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,25,0,0,0,25,85,0,12.5,0,0,0,12.5,2.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,97.5,0,27.5,0,125,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,35.00,100.00,0.00,0.00,5.00,0.00,5.00,0.00,105.00
122,2,1,wet,Taeniatherum caput-medusae,none,none,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,95,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,95,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,95,0,0,95,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,95,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,45,0,0,45,25,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,25,12.5,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,12.50,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,35.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,37.50,25.00,62.50,0.00,0.00,0.00,15.00,15.00,60.00,137.50
123,2,1,wet,natives +WAPS + annuals,high fert,none,12.5,25,12.5,2.5,0,235,12.5,12.5,12.5,0,0,2.5,0,2.5,0,0,0,0,52.5,235,42.5,330,65,12.5,2.5,0,2.5,2.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,80,5,25,110,12.5,12.5,2.5,0,12.5,2.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,27.5,15,12.5,0,55,12.5,12.5,12.5,0,35,45,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,80,75,0,192.5,0,0,12.5,0,2.5,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,37.5,35,0,85,35,0,12.5,0,0,0,0,12.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0,37.5,0,85,25,0,0,0,0,0,0,55,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,25,0,60,0,85,25.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,50.00,0.00,0.00,47.50,0.00,47.50,0.00,97.50
124,2,1,wet,natives +WAPS + annuals,none,none,12.5,12.5,12.5,12.5,12.5,235,12.5,2.5,2.5,0,0,12.5,0,25,0,0,0,0,50,247.5,55,352.5,45,0,0,0,12.5,2.5,12.5,12.5,2.5,0,0,0,0,0,0,35,0,0,45,15,27.5,87.5,2.5,2.5,2.5,2.5,45,35,35,2.5,0,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,95,0,0,10,80,37.5,5,132.5,12.5,2.5,2.5,0,12.5,75,2.5,45,0,2.5,0,0,0,0,0,0,0,0,0,0,0,17.5,87.5,50,0,155,12.5,0,0,0,0,12.5,2.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,27.5,0,52.5,55,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,12.5,0,67.5,25,0,0,2.5,12.5,0,0,2.5,0,2.5,0,0,0,0,0,0,0,95,0,0,0,27.5,12.5,5,0,45,45.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,65.00,110.00,0.00,0.00,25.00,0.00,25.00,0.00,135.00
125,2,1,wet,annuals + natives,none,none,2.5,25,12.5,12.5,0,0,25,2.5,2.5,0,0,12.5,0,25,0,0,0,0,52.5,0,67.5,120,55,0,0,0,0,0,35,2.5,0,0,0,0,0,12.5,0,35,0,0,55,0,50,105,0,25,2.5,0,0,0,12.5,12.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,27.5,0,27.5,0,55,25,12.5,25,0,0,0,75,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,62.5,0,87.5,0,150,0,2.5,2.5,0,0,0,25,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,90,0,95,12.5,0,35,0,0,2.5,0,45,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,47.5,2.5,47.5,0,97.5,0,0,2.5,0,0,12.5,12.5,75,0,12.5,0,0,0,0,0,0,0,0,0,0,0,2.5,12.5,100,0,115,12.50,0.00,25.00,0.00,0.00,0.00,12.50,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00,12.50,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,45.00,82.50,0.00,0.00,37.50,0.00,37.50,0.00,120.00
126,2,1,wet,Bromus carinatus,none,none,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,0,0,0,0,0,0,45,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,55,25,2.5,0,0,47.5,0,47.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,2.5,65,67.5,45,2.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,47.5,0,2.5,0,50,35,2.5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.5,0,0,0,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,85.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,100.00,187.50,0.00,0.00,0.00,0.00,0.00,0.00,187.50
127,2,1,wet,Avena fatua,none,none,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,95,35,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,35,2.5,0,0,37.5,95,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,12.5,0,0,107.5,2.5,0,12.5,0,12.5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,15,67.5,0,0,82.5,2.5,0,0,0,35,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,100,0,0,102.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,35.00,70.00,105.00,0.00,0.00,0.00,0.00,0.00,115.00,220.00
128,2,1,wet,Vulpia microstachys,none,none,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,75,75,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,95,95,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,12.5,0,0,0,55,0,55,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,95,0,0,0,0,0,0,25,95,120,0,0,2.5,0,2.5,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,55,0,2.5,27.5,25,0,55,12.5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,37.5,0,0,0,37.5,45,0,25,0,35,12.5,2.5,0,0,0,0,0,25,0,0,0,0,0,0,0,0,70,47.5,27.5,0,145,12.50,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,55.00,142.50,0.00,0.00,0.00,12.50,12.50,2.50,157.50
129,2,1,wet,WAPS,none,spring clipping,0,0,0,0,55,65,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,95,0,0,0,25,0,25,0,0,0,0,12.5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,87.5,0,0,87.5,0,0,0,0,65,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,120,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,12.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,15,0,0,0,15,25,0,12.5,0,12.5,2.5,0,0,0,0,0,0,25,0,0,0,35,0,0,0,0,37.5,15,25,35,112.5,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,85.00,97.50,0.00,0.00,0.00,0.00,0.00,0.00,97.50
130,2,1,wet,WAPS + annuals,none,fall clipping,25,25,12.5,25,2.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,87.5,15,0,102.5,12.5,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,12.5,50,0,62.5,2.5,0,0,12.5,25,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0,15,37.5,0,12.5,65,12.5,12.5,0,0,55,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,120,0,0,145,2.5,2.5,2.5,0,25,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,7.5,60,0,0,67.5,12.5,12.5,2.5,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,90,0,0,117.5,25,2.5,12.5,0,0,25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,25,12.5,0,77.5,12.50,0.00,25.00,12.50,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,0.00,35.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,47.50,85.00,0.00,0.00,2.50,0.00,2.50,12.50,100.00
131,2,1,wet,WAPS + annuals,none,none,12.5,12.5,12.5,35,35,12.5,0,0,0,0,0,0,0,0,0,0,0,0,72.5,47.5,0,120,25,0,0,12.5,35,12.5,0,0,0,0,0,0,0,0,0,75,0,0,37.5,47.5,0,85,0,0,2.5,2.5,55,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80,0,0,85,35,2.5,2.5,0,12.5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,97.5,0,0,137.5,0,0,2.5,0,25,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,2.5,80,0,0,82.5,12.5,2.5,0,0,45,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,110,0,0,125,12.5,0,0,0,25,12.5,0,2.5,0,0,0,0,0,0,0,0,0,95,0,0,0,12.5,37.5,2.5,0,52.5,25.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,75.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.50,65.00,92.50,0.00,0.00,0.00,0.00,0.00,0.00,92.50
132,2,1,wet,Natives,none,none,0,0,0,0,0,0,25,0,0,0,0,12.5,0,75,0,0,0,0,0,0,112.5,112.5,0,0,0,0,0,0,45,25,0,0,0,25,0,12.5,0,0,0,0,0,0,107.5,107.5,0,0,0,0,0,0,12.5,55,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,72.5,0,72.5,0,0,0,0,0,0,25,65,0,0,0,2.5,12.5,0,0,0,0,0,0,0,0,0,0,105,0,105,0,0,0,0,2.5,0,25,45,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,72.5,0,75,75,0,45,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,2.5,0,122.5,45,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,25,0,70,45.00,0.00,12.50,0.00,0.00,0.00,0.00,25.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,25.00,0.00,35.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.50,35.00,92.50,0.00,0.00,37.50,0.00,37.50,12.50,142.50
133,2,1,wet,natives +WAPS + annuals,none,fall clipping,25,12.5,12.5,25,12.5,12.5,25,2.5,2.5,0,0,2.5,0,35,0,0,0,0,75,25,67.5,167.5,12.5,12.5,0,12.5,45,12.5,0,25,0,0,0,0,0,0,0,0,0,0,37.5,57.5,25,120,0,2.5,0,0,25,12.5,2.5,2.5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,85,0,0,5,37.5,5,0,47.5,12.5,0,2.5,0,25,75,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,15,100,35,0,150,12.5,0,0,0,2.5,12.5,0,12.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,15,15,0,42.5,55,0,2.5,0,2.5,25,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,57.5,27.5,0,0,85,75,0,0,0,0,0,0,2.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,75,0,5,0,80,45.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,2.50,0.00,0.00,35.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,25.00,70.00,0.00,0.00,25.00,0.00,25.00,2.50,97.50
134,2,1,wet,WAPS,none,none,0,0,0,0,65,35,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,65,55,0,0,0,0,0,0,0,0,0,25,12.5,0,0,120,0,120,0,0,0,0,95,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,120,0,0,120,0,0,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,130,12.5,0,0,0,12.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,12.5,37.5,0,0,50,45,0,0,0,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,60,0,0,105,0,0,0,0,12.5,2.5,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,15,0,0,15,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,2.50,0.00,65.00,25.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,12.50,57.50,0.00,0.00,0.00,0.00,0.00,40.00,97.50
135,2,1,wet,WAPS + annuals,high fert,none,25,45,12.5,35,25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,117.5,37.5,0,155,35,2.5,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,45,0,0,37.5,25,0,62.5,12.5,2.5,2.5,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,150,0,0,167.5,25,0,25,0,35,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,120,0,0,170,0,0,2.5,0,12.5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,2.5,47.5,0,0,50,45,0,0,0,12.5,25,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,45,37.5,0,0,82.5,65,0,0,0,25,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,27.5,0,0,92.5,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,2.50,0.00,65.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,25.00,110.00,0.00,0.00,0.00,0.00,0.00,2.50,112.50
136,2,1,wet,Bromus hordeaceus,none,none,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,95,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,65,0,0,65,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,95,0,0,0,95,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,55,0,0,55,110,0,0,35,0,12.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,37.5,0,0,72.5,2.5,0,0,0,65,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,160,0,0,162.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,2.5,0,0,0,2.5,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,55.00,75.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,50.00,130.00,180.00,0.00,0.00,0.00,0.00,0.00,80.00,260.00
137,2,1,wet,Lolium multiflorum,none,none,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,95,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,75,0,0,75,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,2.5,0,85,0,0,0,85,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,55,0,0,75,130,0,0,25,0,2.5,65,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,25,67.5,0,0,105,0,0,0,0,45,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,12.50,0.00,12.50,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,25.00,0.00,0.00,50.00,35.00,85.00,2.50,2.50,0.00,25.00,25.00,130.00,242.50
138,2,1,wet,Lupinus bicolor,none,none,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,45,45,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,0,0,0,0,0,85,25,2.5,0,2.5,2.5,2.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,95,95,0,12.5,25,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,85,0,0,122.5,0,0,0,0,55,85,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,2.5,0,142.5,12.5,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,95,0,0,0,12.5,12.5,12.5,0,37.5,85.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,2.50,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,95.00,25.00,0.00,55.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,85.00,55.00,140.00,2.50,2.50,2.50,0.00,2.50,27.50,172.50
