plot,block,sub.block,precip.block,h2o,other.treatment,sp.trt,fert,clip
90,1,3,,control,18a,WAPS,none,spring clipping
91,1,3,,control,14,WAPS + natives,none,none
92,1,3,,control,32,Lotus purshianus,none,none
93,1,3,,control,26,Bromus carinatus,none,none
94,1,3,,control,12,natives +WAPS + annuals,high fert,none
95,1,3,,control,35,annuals,none,spring clipping
96,1,3,,control,13,annuals + natives,none,none
97,1,3,,control,25,Centaurea solstitialis + WAPS + annuals,none,none
98,1,3,,control,27,Elymus glaucus,none,none
99,1,3,,control,23,Aegilops triuncialis,none,none
100,1,3,,control,2,WAPS + annuals,none,spring clipping
101,1,3,,control,10,natives +WAPS + annuals,high fert,fall clipping
102,1,3,,control,3,WAPS + annuals,none,none
103,1,3,,control,30,Poa secunda,none,none
104,1,3,,control,33b,WAPS,none,fall clipping
105,1,3,,control,16,WAPS,none,none
106,2,1,A,wet,28,Leymus triticoides,none,none
107,2,1,A,wet,30,Poa secunda,none,none
108,2,1,A,wet,15,annuals,none,none
109,2,1,A,wet,25,Centaurea solstitialis + WAPS + annuals,none,none
110,2,1,A,wet,29,Nassella pulchra,none,none
111,2,1,A,wet,10,natives +WAPS + annuals,high fert,fall clipping
112,2,1,A,wet,2,WAPS + annuals,none,spring clipping
113,2,1,A,wet,22,Trifolium subteranneum,none,none
114,2,1,A,wet,14,WAPS + natives,none,none
115,2,1,A,wet,23,Aegilops triuncialis,none,none
116,2,1,A,wet,35,annuals,none,spring clipping
117,2,1,A,wet,27,Elymus glaucus,none,none
118,2,1,A,wet,32,Lotus purshianus,none,none
119,2,1,A,wet,8,natives +WAPS + annuals,none,spring clipping
120,2,1,A,wet,4,WAPS + annuals,high fert,fall clipping
121,2,1,A,wet,11,natives +WAPS + annuals,high fert,spring clipping
122,2,1,A,wet,24,Taeniatherum caput-medusae,none,none
123,2,1,A,wet,12,natives +WAPS + annuals,high fert,none
124,2,1,A,wet,9,natives +WAPS + annuals,none,none
125,2,1,A,wet,13,annuals + natives,none,none
126,2,1,A,wet,26,Bromus carinatus,none,none
127,2,1,A,wet,19,Avena fatua,none,none
128,2,1,A,wet,31,Vulpia microstachys,none,none
129,2,1,A,wet,18a,WAPS,none,spring clipping
130,2,1,A,wet,1,WAPS + annuals,none,fall clipping
131,2,1,A,wet,3,WAPS + annuals,none,none
132,2,1,A,wet,17,Natives,none,none
133,2,1,A,wet,7,natives +WAPS + annuals,none,fall clipping
134,2,1,A,wet,16,WAPS,none,none
135,2,1,A,wet,6,WAPS + annuals,high fert,none
136,2,1,A,wet,20,Bromus hordeaceus,none,none
137,2,1,A,wet,21,Lolium multiflorum,none,none
138,2,1,A,wet,33a,Lupinus bicolor,none,none
139,2,1,A,wet,5,WAPS + annuals,high fert,spring clipping
140,2,1,A,wet,34,annuals,none,fall clipping
141,2,2,,control- 2nd,16,WAPS,none,none
142,2,2,,control- 2nd,23,Aegilops triuncialis,none,none
143,2,2,,control- 2nd,4,WAPS + annuals,high fert,fall clipping
144,2,2,,control- 2nd,11,natives +WAPS + annuals,high fert,spring clipping
145,2,2,,control- 2nd,15,annuals,none,none
146,2,2,,control- 2nd,31,Vulpia microstachys,none,none
147,2,2,,control- 2nd,9,natives +WAPS + annuals,none,none
148,2,2,,control- 2nd,1,WAPS + annuals,none,fall clipping
149,2,2,,control- 2nd,22,Trifolium subteranneum,none,none
150,2,2,,control- 2nd,29,Nassella pulchra,none,none
151,2,2,,control- 2nd,34,annuals,none,fall clipping
152,2,2,,control- 2nd,21,Lolium multiflorum,none,none
153,2,2,,control- 2nd,24,Taeniatherum caput-medusae,none,none
154,2,2,,control- 2nd,28,Leymus triticoides,none,none
155,2,2,,control- 2nd,33a,Lupinus bicolor,none,none
156,2,2,,control- 2nd,30,Poa secunda,none,none
157,2,2,,control- 2nd,6,WAPS + annuals,high fert,none
158,2,2,,control- 2nd,19,Avena fatua,none,none
159,2,2,,control- 2nd,13,annuals + natives,none,none
160,2,2,,control- 2nd,17,Natives,none,none
161,2,2,,control- 2nd,25,Centaurea solstitialis + WAPS + annuals,none,none
162,2,2,,control- 2nd,14,WAPS + natives,none,none
163,2,2,,control- 2nd,27,Elymus glaucus,none,none
164,2,2,,control- 2nd,7,natives +WAPS + annuals,none,fall clipping
165,2,2,,control- 2nd,26,Bromus carinatus,none,none
166,2,2,,control- 2nd,20,Bromus hordeaceus,none,none
167,2,2,,control- 2nd,8,natives +WAPS + annuals,none,spring clipping
168,2,2,,control- 2nd,32,Lotus purshianus,none,none
169,2,2,,control- 2nd,2,WAPS + annuals,none,spring clipping
170,2,2,,control- 2nd,10,natives +WAPS + annuals,high fert,fall clipping
171,2,2,,control- 2nd,35,annuals,none,spring clipping
172,2,2,,control- 2nd,18b,Bare,none,none
173,2,2,,control- 2nd,5,WAPS + annuals,high fert,spring clipping
174,2,2,,control- 2nd,12,natives +WAPS + annuals,high fert,none
175,2,2,,control- 2nd,3,WAPS + annuals,none,none
176,2,3,,control,19,Avena fatua,none,none
177,2,3,,control,8,natives +WAPS + annuals,none,spring clipping
178,2,3,,control,7,natives +WAPS + annuals,none,fall clipping
179,2,3,,control,32,Lotus purshianus,none,none
180,2,3,,control,22,Trifolium subteranneum,none,none
181,2,3,,control,16,WAPS,none,none
182,2,3,,control,1,WAPS + annuals,none,fall clipping
183,2,3,,control,35,annuals,none,spring clipping
184,2,3,,control,4,WAPS + annuals,high fert,fall clipping
185,2,3,,control,17,Natives,none,none
186,2,3,,control,11,natives +WAPS + annuals,high fert,spring clipping
187,2,3,,control,13,annuals + natives,none,none
188,2,3,,control,30,Poa secunda,none,none
189,2,3,,control,5,WAPS + annuals,high fert,spring clipping
190,2,3,,control,3,WAPS + annuals,none,none
191,2,3,,control,34,annuals,none,fall clipping
192,2,3,,control,14,WAPS + natives,none,none
193,2,3,,control,20,Bromus hordeaceus,none,none
194,2,3,,control,27,Elymus glaucus,none,none
195,2,3,,control,6,WAPS + annuals,high fert,none
196,2,3,,control,2,WAPS + annuals,none,spring clipping
197,2,3,,control,33b,WAPS,none,fall clipping
198,2,3,,control,9,natives +WAPS + annuals,none,none
199,2,3,,control,21,Lolium multiflorum,none,none
200,2,3,,control,18a,WAPS,none,spring clipping
201,2,3,,control,31,Vulpia microstachys,none,none
202,2,3,,control,24,Taeniatherum caput-medusae,none,none
203,2,3,,control,25,Centaurea solstitialis + WAPS + annuals,none,none
204,2,3,,control,12,natives +WAPS + annuals,high fert,none
205,2,3,,control,15,annuals,none,none
206,2,3,,control,23,Aegilops triuncialis,none,none
207,2,3,,control,10,natives +WAPS + annuals,high fert,fall clipping
208,2,3,,control,28,Leymus triticoides,none,none
209,2,3,,control,29,Nassella pulchra,none,none
210,2,3,,control,26,Bromus carinatus,none,none
211,3,1,A,dry,2,WAPS + annuals,none,spring clipping
212,3,1,A,dry,25,Centaurea solstitialis + WAPS + annuals,none,none
213,3,1,A,dry,21,Lolium multiflorum,none,none
214,3,1,A,dry,28,Leymus triticoides,none,none
215,3,1,A,dry,26,Bromus carinatus,none,none
216,3,1,A,dry,11,natives +WAPS + annuals,high fert,spring clipping
217,3,1,A,dry,3,WAPS + annuals,none,none
218,3,1,A,dry,1,WAPS + annuals,none,fall clipping
219,3,1,A,dry,29,Nassella pulchra,none,none
220,3,1,A,dry,31,Vulpia microstachys,none,none
221,3,1,A,dry,24,Taeniatherum caput-medusae,none,none
222,3,1,A,dry,34,annuals,none,fall clipping
223,3,1,A,dry,16,WAPS,none,none
224,3,1,A,dry,8,natives +WAPS + annuals,none,spring clipping
225,3,1,A,dry,33a,Lupinus bicolor,none,none
226,3,1,A,dry,4,WAPS + annuals,high fert,fall clipping
227,3,1,A,dry,9,natives +WAPS + annuals,none,none
228,3,1,A,dry,30,Poa secunda,none,none
229,3,1,A,dry,15,annuals,none,none
230,3,1,A,dry,19,Avena fatua,none,none
231,3,1,A,dry,18b,Bare,none,none
232,3,1,A,dry,7,natives +WAPS + annuals,none,fall clipping
233,3,1,A,dry,23,Aegilops triuncialis,none,none
234,3,1,A,dry,22,Trifolium subteranneum,none,none
235,3,1,A,dry,5,WAPS + annuals,high fert,spring clipping
236,3,1,A,dry,13,annuals + natives,none,none
237,3,1,A,dry,32,Lotus purshianus,none,none
238,3,1,A,dry,35,annuals,none,spring clipping
239,3,1,A,dry,27,Elymus glaucus,none,none
240,3,1,A,dry,6,WAPS + annuals,high fert,none
241,3,1,A,dry,14,WAPS + natives,none,none
242,3,1,A,dry,10,natives +WAPS + annuals,high fert,fall clipping
243,3,1,A,dry,20,Bromus hordeaceus,none,none
244,3,1,A,dry,12,natives +WAPS + annuals,high fert,none
245,3,1,A,dry,17,Natives,none,none
246,3,2,B,control,31,Vulpia microstachys,none,none
247,3,2,B,control,17,Natives,none,none
248,3,2,B,control,8,natives +WAPS + annuals,none,spring clipping
249,3,2,B,control,27,Elymus glaucus,none,none
250,3,2,B,control,7,natives +WAPS + annuals,none,fall clipping
251,3,2,B,control,21,Lolium multiflorum,none,none
252,3,2,B,control,12,natives +WAPS + annuals,high fert,none
253,3,2,B,control,28,Leymus triticoides,none,none
254,3,2,B,control,20,Bromus hordeaceus,none,none
255,3,2,B,control,11,natives +WAPS + annuals,high fert,spring clipping
256,3,2,B,control,32,Lotus purshianus,none,none
257,3,2,B,control,16,WAPS,none,none
258,3,2,B,control,24,Taeniatherum caput-medusae,none,none
259,3,2,B,control,34,annuals,none,fall clipping
260,3,2,B,control,1,WAPS + annuals,none,fall clipping
261,3,2,B,control,35,annuals,none,spring clipping
262,3,2,B,control,6,WAPS + annuals,high fert,none
263,3,2,B,control,18a,WAPS,none,spring clipping
264,3,2,B,control,3,WAPS + annuals,none,none
265,3,2,B,control,26,Bromus carinatus,none,none
266,3,2,B,control,30,Poa secunda,none,none
267,3,2,B,control,13,annuals + natives,none,none
268,3,2,B,control,14,WAPS + natives,none,none
269,3,2,B,control,19,Avena fatua,none,none
270,3,2,B,control,22,Trifolium subteranneum,none,none
271,3,2,B,control,10,natives +WAPS + annuals,high fert,fall clipping
272,3,2,B,control,9,natives +WAPS + annuals,none,none
273,3,2,B,control,15,annuals,none,none
274,3,2,B,control,25,Centaurea solstitialis + WAPS + annuals,none,none
275,3,2,B,control,29,Nassella pulchra,none,none
276,3,2,B,control,2,WAPS + annuals,none,spring clipping
277,3,2,B,control,23,Aegilops triuncialis,none,none
278,3,2,B,control,33b,WAPS,none,fall clipping
279,3,2,B,control,5,WAPS + annuals,high fert,spring clipping
280,3,2,B,control,4,WAPS + annuals,high fert,fall clipping
281,3,3,B,late wet,16,WAPS,none,none
282,3,3,B,late wet,32,Lotus purshianus,none,none
283,3,3,B,late wet,12,natives +WAPS + annuals,high fert,none
284,3,3,B,late wet,14,WAPS + natives,none,none
285,3,3,B,late wet,31,Vulpia microstachys,none,none
286,3,3,B,late wet,17,Natives,none,none
287,3,3,B,late wet,24,Taeniatherum caput-medusae,none,none
288,3,3,B,late wet,3,WAPS + annuals,none,none
289,3,3,B,late wet,20,Bromus hordeaceus,none,none
290,3,3,B,late wet,10,natives +WAPS + annuals,high fert,fall clipping
291,3,3,B,late wet,7,natives +WAPS + annuals,none,fall clipping
292,3,3,B,late wet,30,Poa secunda,none,none
293,3,3,B,late wet,4,WAPS + annuals,high fert,fall clipping
294,3,3,B,late wet,23,Aegilops triuncialis,none,none
295,3,3,B,late wet,34,annuals,none,fall clipping
296,3,3,B,late wet,35,annuals,none,spring clipping
297,3,3,B,late wet,11,natives +WAPS + annuals,high fert,spring clipping
298,3,3,B,late wet,2,WAPS + annuals,none,spring clipping
299,3,3,B,late wet,6,WAPS + annuals,high fert,none
300,3,3,B,late wet,9,natives +WAPS + annuals,none,none
301,3,3,B,late wet,1,WAPS + annuals,none,fall clipping
302,3,3,B,late wet,21,Lolium multiflorum,none,none
303,3,3,B,late wet,25,Centaurea solstitialis + WAPS + annuals,none,none
304,3,3,B,late wet,13,annuals + natives,none,none
305,3,3,B,late wet,19,Avena fatua,none,none
306,3,3,B,late wet,33a,Lupinus bicolor,none,none
307,3,3,B,late wet,26,Bromus carinatus,none,none
308,3,3,B,late wet,27,Elymus glaucus,none,none
309,3,3,B,late wet,28,Leymus triticoides,none,none
310,3,3,B,late wet,5,WAPS + annuals,high fert,spring clipping
311,3,3,B,late wet,18a,WAPS,none,spring clipping
312,3,3,B,late wet,22,Trifolium subteranneum,none,none
313,3,3,B,late wet,8,natives +WAPS + annuals,none,spring clipping
314,3,3,B,late wet,15,annuals,none,none
315,3,3,B,late wet,29,Nassella pulchra,none,none
316,4,1,A,control,23,Aegilops triuncialis,none,none
317,4,1,A,control,9,natives +WAPS + annuals,none,none
318,4,1,A,control,22,Trifolium subteranneum,none,none
319,4,1,A,control,16,WAPS,none,none
320,4,1,A,control,28,Leymus triticoides,none,none
321,4,1,A,control,12,natives +WAPS + annuals,high fert,none
322,4,1,A,control,11,natives +WAPS + annuals,high fert,spring clipping
323,4,1,A,control,15,annuals,none,none
324,4,1,A,control,29,Nassella pulchra,none,none
325,4,1,A,control,8,natives +WAPS + annuals,none,spring clipping
326,4,1,A,control,35,annuals,none,spring clipping
327,4,1,A,control,21,Lolium multiflorum,none,none
328,4,1,A,control,26,Bromus carinatus,none,none
329,4,1,A,control,10,natives +WAPS + annuals,high fert,fall clipping
330,4,1,A,control,31,Vulpia microstachys,none,none
331,4,1,A,control,2,WAPS + annuals,none,spring clipping
332,4,1,A,control,13,annuals + natives,none,none
333,4,1,A,control,14,WAPS + natives,none,none
334,4,1,A,control,34,annuals,none,fall clipping
335,4,1,A,control,17,Natives,none,none
336,4,1,A,control,4,WAPS + annuals,high fert,fall clipping
337,4,1,A,control,18a,WAPS,none,spring clipping
338,4,1,A,control,1,WAPS + annuals,none,fall clipping
339,4,1,A,control,24,Taeniatherum caput-medusae,none,none
340,4,1,A,control,20,Bromus hordeaceus,none,none
341,4,1,A,control,33b,WAPS,none,fall clipping
342,4,1,A,control,19,Avena fatua,none,none
343,4,1,A,control,25,Centaurea solstitialis + WAPS + annuals,none,none
344,4,1,A,control,27,Elymus glaucus,none,none
345,4,1,A,control,5,WAPS + annuals,high fert,spring clipping
346,4,1,A,control,3,WAPS + annuals,none,none
347,4,1,A,control,7,natives +WAPS + annuals,none,fall clipping
348,4,1,A,control,32,Lotus purshianus,none,none
349,4,1,A,control,30,Poa secunda,none,none
350,4,1,A,control,6,WAPS + annuals,high fert,none
351,4,2,B,dry,7,natives +WAPS + annuals,none,fall clipping
352,4,2,B,dry,26,Bromus carinatus,none,none
353,4,2,B,dry,12,natives +WAPS + annuals,high fert,none
354,4,2,B,dry,28,Leymus triticoides,none,none
355,4,2,B,dry,1,WAPS + annuals,none,fall clipping
356,4,2,B,dry,6,WAPS + annuals,high fert,none
357,4,2,B,dry,5,WAPS + annuals,high fert,spring clipping
358,4,2,B,dry,2,WAPS + annuals,none,spring clipping
359,4,2,B,dry,23,Aegilops triuncialis,none,none
360,4,2,B,dry,11,natives +WAPS + annuals,high fert,spring clipping
361,4,2,B,dry,13,annuals + natives,none,none
362,4,2,B,dry,25,Centaurea solstitialis + WAPS + annuals,none,none
363,4,2,B,dry,31,Vulpia microstachys,none,none
364,4,2,B,dry,15,annuals,none,none
365,4,2,B,dry,8,natives +WAPS + annuals,none,spring clipping
366,4,2,B,dry,4,WAPS + annuals,high fert,fall clipping
367,4,2,B,dry,27,Elymus glaucus,none,none
368,4,2,B,dry,21,Lolium multiflorum,none,none
369,4,2,B,dry,9,natives +WAPS + annuals,none,none
370,4,2,B,dry,10,natives +WAPS + annuals,high fert,fall clipping
371,4,2,B,dry,3,WAPS + annuals,none,none
372,4,2,B,dry,29,Nassella pulchra,none,none
373,4,2,B,dry,22,Trifolium subteranneum,none,none
374,4,2,B,dry,17,Natives,none,none
375,4,2,B,dry,19,Avena fatua,none,none
376,4,2,B,dry,18b,Bare,none,none
377,4,2,B,dry,24,Taeniatherum caput-medusae,none,none
378,4,2,B,dry,35,annuals,none,spring clipping
379,4,2,B,dry,16,WAPS,none,none
380,4,2,B,dry,30,Poa secunda,none,none
381,4,2,B,dry,20,Bromus hordeaceus,none,none
382,4,2,B,dry,34,annuals,none,fall clipping
383,4,2,B,dry,14,WAPS + natives,none,none
384,4,2,B,dry,32,Lotus purshianus,none,none
385,4,2,B,dry,33a,Lupinus bicolor,none,none
386,4,3,B,wet,6,WAPS + annuals,high fert,none
387,4,3,B,wet,24,Taeniatherum caput-medusae,none,none
388,4,3,B,wet,22,Trifolium subteranneum,none,none
389,4,3,B,wet,32,Lotus purshianus,none,none
390,4,3,B,wet,19,Avena fatua,none,none
391,4,3,B,wet,2,WAPS + annuals,none,spring clipping
392,4,3,B,wet,15,annuals,none,none
393,4,3,B,wet,26,Bromus carinatus,none,none
394,4,3,B,wet,4,WAPS + annuals,high fert,fall clipping
395,4,3,B,wet,5,WAPS + annuals,high fert,spring clipping
396,4,3,B,wet,10,natives +WAPS + annuals,high fert,fall clipping
397,4,3,B,wet,1,WAPS + annuals,none,fall clipping
398,4,3,B,wet,8,natives +WAPS + annuals,none,spring clipping
399,4,3,B,wet,3,WAPS + annuals,none,none
400,4,3,B,wet,33a,Lupinus bicolor,none,none
401,4,3,B,wet,29,Nassella pulchra,none,none
402,4,3,B,wet,34,annuals,none,fall clipping
403,4,3,B,wet,25,Centaurea solstitialis + WAPS + annuals,none,none
404,4,3,B,wet,27,Elymus glaucus,none,none
405,4,3,B,wet,9,natives +WAPS + annuals,none,none
406,4,3,B,wet,23,Aegilops triuncialis,none,none
407,4,3,B,wet,35,annuals,none,spring clipping
408,4,3,B,wet,30,Poa secunda,none,none
409,4,3,B,wet,17,Natives,none,none
410,4,3,B,wet,31,Vulpia microstachys,none,none
411,4,3,B,wet,16,WAPS,none,none
412,4,3,B,wet,21,Lolium multiflorum,none,none
413,4,3,B,wet,11,natives +WAPS + annuals,high fert,spring clipping
414,4,3,B,wet,18a,WAPS,none,spring clipping
415,4,3,B,wet,12,natives +WAPS + annuals,high fert,none
416,4,3,B,wet,13,annuals + natives,none,none
417,4,3,B,wet,14,WAPS + natives,none,none
418,4,3,B,wet,20,Bromus hordeaceus,none,none
419,4,3,B,wet,7,natives +WAPS + annuals,none,fall clipping
420,4,3,B,wet,28,Leymus triticoides,none,none
421,5,1,C,wet,25,Centaurea solstitialis + WAPS + annuals,none,none
422,5,1,C,wet,27,Elymus glaucus,none,none
423,5,1,C,wet,31,Vulpia microstachys,none,none
424,5,1,C,wet,5,WAPS + annuals,high fert,spring clipping
425,5,1,C,wet,4,WAPS + annuals,high fert,fall clipping
426,5,1,C,wet,32,Lotus purshianus,none,none
427,5,1,C,wet,16,WAPS,none,none
428,5,1,C,wet,6,WAPS + annuals,high fert,none
429,5,1,C,wet,29,Nassella pulchra,none,none
430,5,1,C,wet,20,Bromus hordeaceus,none,none
431,5,1,C,wet,24,Taeniatherum caput-medusae,none,none
432,5,1,C,wet,19,Avena fatua,none,none
433,5,1,C,wet,12,natives +WAPS + annuals,high fert,none
434,5,1,C,wet,14,WAPS + natives,none,none
435,5,1,C,wet,10,natives +WAPS + annuals,high fert,fall clipping
436,5,1,C,wet,3,WAPS + annuals,none,none
437,5,1,C,wet,8,natives +WAPS + annuals,none,spring clipping
438,5,1,C,wet,2,WAPS + annuals,none,spring clipping
439,5,1,C,wet,30,Poa secunda,none,none
440,5,1,C,wet,33a,Lupinus bicolor,none,none
441,5,1,C,wet,9,natives +WAPS + annuals,none,none
442,5,1,C,wet,23,Aegilops triuncialis,none,none
443,5,1,C,wet,26,Bromus carinatus,none,none
444,5,1,C,wet,7,natives +WAPS + annuals,none,fall clipping
445,5,1,C,wet,13,annuals + natives,none,none
446,5,1,C,wet,1,WAPS + annuals,none,fall clipping
447,5,1,C,wet,34,annuals,none,fall clipping
448,5,1,C,wet,21,Lolium multiflorum,none,none
449,5,1,C,wet,28,Leymus triticoides,none,none
450,5,1,C,wet,18b,Bare,none,none
451,5,1,C,wet,11,natives +WAPS + annuals,high fert,spring clipping
452,5,1,C,wet,15,annuals,none,none
453,5,1,C,wet,17,Natives,none,none
454,5,1,C,wet,35,annuals,none,spring clipping
455,5,1,C,wet,22,Trifolium subteranneum,none,none
456,5,2,C,late wet,5,WAPS + annuals,high fert,spring clipping
457,5,2,C,late wet,23,Aegilops triuncialis,none,none
458,5,2,C,late wet,28,Leymus triticoides,none,none
459,5,2,C,late wet,19,Avena fatua,none,none
460,5,2,C,late wet,24,Taeniatherum caput-medusae,none,none
461,5,2,C,late wet,12,natives +WAPS + annuals,high fert,none
462,5,2,C,late wet,14,WAPS + natives,none,none
463,5,2,C,late wet,3,WAPS + annuals,none,none
464,5,2,C,late wet,2,WAPS + annuals,none,spring clipping
465,5,2,C,late wet,26,Bromus carinatus,none,none
466,5,2,C,late wet,32,Lotus purshianus,none,none
467,5,2,C,late wet,34,annuals,none,fall clipping
468,5,2,C,late wet,27,Elymus glaucus,none,none
469,5,2,C,late wet,17,Natives,none,none
470,5,2,C,late wet,7,natives +WAPS + annuals,none,fall clipping
471,5,2,C,late wet,22,Trifolium subteranneum,none,none
472,5,2,C,late wet,29,Nassella pulchra,none,none
473,5,2,C,late wet,31,Vulpia microstachys,none,none
474,5,2,C,late wet,6,WAPS + annuals,high fert,none
475,5,2,C,late wet,8,natives +WAPS + annuals,none,spring clipping
476,5,2,C,late wet,16,WAPS,none,none
477,5,2,C,late wet,25,Centaurea solstitialis + WAPS + annuals,none,none
478,5,2,C,late wet,9,natives +WAPS + annuals,none,none
479,5,2,C,late wet,20,Bromus hordeaceus,none,none
480,5,2,C,late wet,13,annuals + natives,none,none
481,5,2,C,late wet,15,annuals,none,none
482,5,2,C,late wet,4,WAPS + annuals,high fert,fall clipping
483,5,2,C,late wet,33a,Lupinus bicolor,none,none
484,5,2,C,late wet,21,Lolium multiflorum,none,none
485,5,2,C,late wet,30,Poa secunda,none,none
486,5,2,C,late wet,11,natives +WAPS + annuals,high fert,spring clipping
487,5,2,C,late wet,35,annuals,none,spring clipping
488,5,2,C,late wet,1,WAPS + annuals,none,fall clipping
489,5,2,C,late wet,10,natives +WAPS + annuals,high fert,fall clipping
490,5,2,C,late wet,18a,WAPS,none,spring clipping
491,5,3,,control,24,Taeniatherum caput-medusae,none,none
492,5,3,,control,9,natives +WAPS + annuals,none,none
493,5,3,,control,34,annuals,none,fall clipping
494,5,3,,control,20,Bromus hordeaceus,none,none
495,5,3,,control,19,Avena fatua,none,none
496,5,3,,control,5,WAPS + annuals,high fert,spring clipping
497,5,3,,control,18a,WAPS,none,spring clipping
